date,productId,тип,что_изменили,автор,примечание
2026-07-30,2847309,характеристики,Обязательные характеристики: заполнены не все → все заполнены,авто,замечено автоматически по логу
2026-07-30,2847242,характеристики,Характеристики заполнены: все заполнены → заполнены не все,авто,замечено автоматически по логу
2026-07-30,2847468,характеристики,Характеристики заполнены: заполнены не все → все заполнены,авто,замечено автоматически по логу
2026-07-29,2843588,характеристики,добавил характеристики,Виталий,
2026-07-29,2842983,характеристики,добавил характеристики,Виталий,
2026-07-29,2843053,характеристики,добавил характеристики,Виталий,
2026-07-29,2843158,характеристики,добавил характеристики,Виталий,
2026-07-29,2843402,характеристики,добавил характеристики,Виталий,
2026-07-29,2843463,характеристики,добавил характеристики,Виталий,
2026-07-29,2843897,характеристики,добавил характеристики,Виталий,
2026-07-29,3061376,характеристики,добавил характеристики,Виталий,
2026-07-29,2661858,характеристики,добавил характеристики,Виталий,
2026-07-29,2885187,характеристики,добавил характеристики,Виталий,
2026-07-29,2663193,характеристики,добавил характеристики,Виталий,
2026-07-29,2662663,характеристики,добавил характеристики,Виталий,
2026-07-29,2846206,характеристики,добавил характеристики,Виталий,
2026-07-29,2843128,характеристики,добавил характеристики,Виталий,
2026-07-29,3061510,характеристики,Обязательные характеристики: заполнены не все → все заполнены,авто,замечено автоматически по логу
2026-07-28,2663193,цена,"Цена, сум: 65000 → 57000",авто,замечено автоматически по логу
2026-07-28,2847387,цена,"Цена, сум: 32000 → 29000",авто,замечено автоматически по логу
2026-07-28,2658308,цена,"Цена, сум: 32500 → 25000",авто,замечено автоматически по логу
2026-07-28,2847309,акция,Акция: нет акции → 06.07-14.07 Чилля неделя 2/Chilla hafta 2,авто,замечено автоматически по логу
2026-07-28,2847309,цена,"Цена, сум: 23000 → 25000",авто,замечено автоматически по логу
2026-07-28,2847242,цена,"Цена, сум: 57500 → 50000",авто,замечено автоматически по логу
2026-07-28,2846160,цена,"Цена, сум: 71000 → 47000",авто,замечено автоматически по логу
2026-07-28,2846118,цена,"Цена, сум: 107000 → 115000",авто,замечено автоматически по логу
2026-07-28,2885187,цена,"Цена, сум: 67300 → 63000",авто,замечено автоматически по логу
2026-07-28,2845895,цена,"Цена, сум: 60100 → 55000",авто,замечено автоматически по логу
2026-07-28,2661858,цена,"Цена, сум: 75000 → 70000",авто,замечено автоматически по логу
2026-07-28,2844104,цена,"Цена, сум: 50300 → 47000",авто,замечено автоматически по логу
2026-07-28,2843333,цена,"Цена, сум: 155000 → 150000",авто,замечено автоматически по логу
2026-07-28,2843897,цена,"Цена, сум: 57300 → 50000",авто,замечено автоматически по логу
2026-07-28,2843402,цена,"Цена, сум: 55000 → 50000",авто,замечено автоматически по логу
2026-07-28,2663965,акция,Акция: нет акции → 01.06-09.06 Летняя распродажа неделя 3/Yozgi chegirmalar haf,авто,замечено автоматически по логу
2026-07-28,2663965,цена,"Цена, сум: 91000 → 95000",авто,замечено автоматически по логу
2026-07-28,2661453,цена,"Цена, сум: 50000 → 45000",авто,замечено автоматически по логу
2026-07-28,2659219,цена,"Цена, сум: 32000 → 37500",авто,замечено автоматически по логу
2026-07-28,2885239,цена,"Цена, сум: 210000 → 200000",авто,замечено автоматически по логу
2026-07-28,2658806,цена,"Цена, сум: 57000 → 55000",авто,замечено автоматически по логу
2026-07-28,2843158,цена,"Цена, сум: 53300 → 47000",авто,замечено автоматически по логу
2026-07-28,2843053,цена,"Цена, сум: 65500 → 64840",авто,замечено автоматически по логу
2026-07-28,2847468,цена,"Цена, сум: 47000 → 27000",авто,замечено автоматически по логу
2026-07-25,3061628,характеристики,Обязательные характеристики: заполнены не все → все заполнены,авто,замечено автоматически по логу
2026-07-25,3061577,характеристики,Обязательные характеристики: заполнены не все → все заполнены,авто,замечено автоматически по логу
2026-07-25,3061540,характеристики,Обязательные характеристики: заполнены не все → все заполнены,авто,замечено автоматически по логу
